source,target,value
3L9hddHJMnpE1qzofQ2TSvMiiMf5ejX1Yw,BTC Exchange,30.0
BTC Exchange,3FdFFJRqvBWKEjFqkZhxuGbN9HNUVAfLqF,554.999588
1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,BTC Exchange,4.19649347
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,BTC Exchange,0.039446640000000005
BTC Exchange,13U65BuSk5ijEu3k8EEiDrGyCmyCoRxYfy,3038.499355
BTC Exchange,15eAzNW4UKSSjyCSTgMN5RywagUqk3wfAL,3069.35525
BTC Exchange,16rF2zwSJ9goQ9fZfYoti5LsUqqegb5RnA,3195.62517
BTC Exchange,1AumBaQDRaCC3cKKQVRHeyvoSPWNdDzsKP,3003.1439593
BTC Exchange,1DnHx95d2t5URq2SYvVk6kxGryvTEbTnTs,3219.73207
BTC Exchange,1EmpiXwB8TsDZsFhgmbatzFPqPoGz9mLhG,3045.408802
BTC Exchange,1HW8JWv88cBFcExStGwsf2KwMcVJBG8ioX,3010.127939
BTC Exchange,1LuXAjLWwxmv4BNd1RaZmsV7ABBFbV9qQf,3037.8355341
1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,BTC Exchange,0.6198321999999999
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,9.01801143
BTC Exchange,1P7Adczd3ikxfCzTGtZBAYNLS1pxoTnZPW,6.02422995
BTC Exchange,3FdFFJRqvBWKEjFqkZhxuGbN9HNUVAfLqF,330.14829984
BTC Exchange,1HJDQbLauXEkzsTujzw5PaAqbcDCBeLiq1,0.7380000000000001
BTC Exchange,1J3B2ucUpWjWPPpejUCoLN93Gwz3q65CTd,0.7380000000000001
BTC Exchange,1MPsPzkBK3w8J6CJyAFUkoiSaxTqWRabsk,0.7380000000000001
BTC Exchange,3FdFFJRqvBWKEjFqkZhxuGbN9HNUVAfLqF,236.632547
BTC Exchange,1FTvwrv3zDfF6JnWEukYN1BKQkd3W56ew1,923.5733305099996
BTC Exchange,3FdFFJRqvBWKEjFqkZhxuGbN9HNUVAfLqF,99.9999485
16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,BTC Exchange,750.0
BTC Exchange,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,906.5656
1FqM3gyBgLxBrvg6Kx1R33Qs8jsLRGprgf,BTC Exchange,0.1995
1gtmmzwhqUzhb8XoShHwgyrzbJwdZ47ok,BTC Exchange,100.0
BTC Exchange,13rCGm4Z3PDeYwo5a7GTT4jFYnRFBZbKr1,3020.272915
BTC Exchange,14kHu26yWkVD8qAnBfcFXHXxgquNoSpKum,3248.38855
BTC Exchange,18QUDxjDZAqAJorr4jkSEWHUDGLBF9uRCc,3194.16078
385cR5DM96n1HvBDMzLHPYcw89fZAXULJP,BTC Exchange,1000.0
16rHb8gSWsywJLX37wq7SRJqe63uUj2dFv,BTC Exchange,1500.0
1gtmmzwhqUzhb8XoShHwgyrzbJwdZ47ok,BTC Exchange,70.0
BTC Exchange,1EDRfeNkjkH2SAhSbEKzhKuabnEbVWbKEp,4012.1732517
